"sname","fname","labour","tory","lnrealgross","lnrealnet","treated","yob","yod","scat_pub","scat_eto","scat_sec","scat_nm","ucat_ox","ucat_deg","ucat_nm","aristo","female","oc_teacherall","oc_barrister","oc_solicitor","oc_dr","oc_civil_serv","oc_local_politics","oc_business","oc_white_collar","oc_union_org","oc_journalist","oc_miner","wobl_race_region","pre_wobl","wobl_race_electorate","wobl_race_turnout","wobl_race_effective_number_of_ca","wobl_margin","directorships_1983"
"Greene","Royden",0,1,12.4284496307373,11.8306121826172,0,1917,1999,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,"East Midlands",-0.257032424211502,52999,0.672937214374542,1.9845290184021,-0.0882938429713249,0
"McWhirter","Norris",0,1,15.0326166152954,15.0311727523804,0,1925,2004,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"South East England",-0.0656256005167961,55776,0.869155168533325,2.40824866294861,-0.0334584750235081,3
"Bourne-Arton","Anthony",0,1,12.8456001281738,12.8456001281738,1,1913,1996,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"North East England",0.0527283512055874,59342,0.843955397605896,2.45471906661987,0.0881953611969948,0
"Baker","Wilfred",0,1,12.4480905532837,11.7061529159546,1,1920,2000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scotland",0.411134600639343,30880,0.677558302879333,2.74233365058899,0.211298570036888,0
"Baker","Douglas",1,0,11.3777084350586,11.3777084350586,0,1931,1985,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"East of England",-0.00684761209413409,72320,0.786753296852112,2.315598487854,-0.0970684364438057,0
"Stone","Frank",1,0,11.8396835327148,11.8396835327148,0,1905,1988,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"East of England",-0.145861193537712,54436,0.799360692501068,2.52078557014465,-0.155972793698311,0
"Berkeley","Humphry",0,1,12.7020397186279,12.7020397186279,1,1926,1994,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"North West England",0.129243969917297,43714,0.824404060840607,1.95402264595032,0.153393641114235,0
"Lee","Edwin",0,1,12.2504005432129,12.2504005432129,0,1911,1989,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"Greater London",-0.316821187734604,47354,0.627444326877594,1.84112727642059,-0.293753355741501,0
"Dilks","John",1,0,12.8428840637207,12.8370094299316,0,1933,2005,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"East Midlands",-0.225506827235222,44344,0.858131885528564,2.83827066421509,-0.188053503632545,0
"Read","George",1,0,12.489673614502,12.3073511123657,0,1937,2004,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"North West England",-0.121692210435867,64639,0.817060887813568,2.55806732177734,-0.0795811712741852,0
"Cowling","Maurice",0,1,12.597954750061,11.7433576583862,0,1926,2005,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"East Midlands",-0.162125930190086,59907,0.801859557628632,1.9497344493866,-0.160563737154007,0
"Jenkin-Jones","Peter",0,1,14.2225685119629,14.2225685119629,0,1928,1995,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"East Midlands",-0.048688966780901,54597,0.849350690841675,1.99708378314972,-0.038212712854147,0
"Irving","Sydney",1,0,12.3121881484985,12.3121881484985,1,1918,1989,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"South East England",NA,58854,0.809766530990601,1.98460125923157,0.088085949420929,0
"Torney","Thomas",1,0,12.4437379837036,10.8343000411987,1,1915,1998,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,"Yorkshire and Humberside",0.17172110080719,63443,0.720142483711243,2.50246787071228,0.0432498678565025,0
"Hindle","John",1,0,12.0892448425293,12.0892448425293,0,1920,1991,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"North West England",-0.197237402200699,46699,0.852288067340851,1.88477420806885,-0.247255086898804,0
"Tinn","James",1,0,12.4284496307373,10.8190116882324,1,1922,1999,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Yorkshire and Humberside",-0.0279395636171103,76693,0.835891127586365,2.68720316886902,0.0697583705186844,0
"Davis","James",0,1,12.549277305603,11.9195032119751,0,1928,2004,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"South East England",-0.0230946037918329,72305,0.814798414707184,2.59583115577698,-0.0827477350831032,0
"Grundy","Colin",1,0,12.0962562561035,12.0962562561035,0,1926,1994,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"East Midlands",0.173075720667839,44811,0.713864922523499,2.38559079170227,-0.00331363896839321,0
"Goodwin","Harry",0,1,13.8350839614868,13.8350839614868,0,1909,1998,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"West Midlands",-0.0188227966427803,77497,0.812508881092072,1.99135410785675,-0.0658916607499123,0
"Reeves","Kenneth",0,1,12.4026613235474,12.4026613235474,0,1932,2004,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Greater London",-0.142971739172935,56034,0.644733548164368,2.14519119262695,-0.11689317971468,NA
"Ennals","John",1,0,12.7364168167114,12.7364168167114,0,1918,1988,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"West Midlands",NA,56990,0.802386403083801,1.99438655376434,-0.0530528351664543,0
"Monks","Constance",0,1,11.8385982513428,11.8385982513428,1,1911,1989,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,"North West England",-0.0950815752148628,71338,0.788345634937286,2.34968113899231,0.0298191644251347,0
"Normanton","Tom",0,1,12.18284034729,12.18284034729,1,1917,1997,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"North West England",-0.00864903442561626,107331,0.799060821533203,2.38400840759277,0.0204514712095261,1
"Clippingdale","Harold",0,1,12.1201086044312,12.1201086044312,0,1908,1993,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"West Midlands",-0.222669556736946,57957,0.863812804222107,1.92923951148987,-0.191514864563942,0
"Pearson-Clarke","Anthony",1,0,12.1462802886963,12.1462802886963,0,1923,1990,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"East of England",-0.219733282923698,78364,0.750178635120392,1.9618204832077,-0.139503628015518,0
"Hurst","Eric",1,0,15.8856897354126,15.8771257400513,0,1914,1998,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Greater London",NA,39239,0.806034803390503,2.28595161437988,-0.0214683189988136,19
"Havers","Michael",0,1,12.1359062194824,12.1359062194824,1,1923,1992,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Greater London",0.187986612319946,42774,0.668349921703339,2.48143601417542,0.235448434948921,0
"Williamson","Muriel",0,1,12.587287902832,12.587287902832,0,1904,1985,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,"West Midlands",-0.10302596539259,65404,0.81355881690979,1.99798929691315,-0.0317233614623547,0
"Bell","Brian",0,1,15.6869602203369,15.6869602203369,0,1921,1989,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"North West England",-0.0480816923081875,59315,0.828559398651123,1.99673938751221,-0.0404102057218552,0
"Bell","David",0,1,12.172625541687,12.172625541687,0,1926,1991,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"West Midlands",-0.189736798405647,96754,0.683351576328278,2.03606152534485,-0.0183916389942169,0
"Foord","John",1,0,11.9985084533691,11.9985084533691,0,1909,1986,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Yorkshire and Humberside",-0.0591966174542904,65880,0.773679435253143,1.99973201751709,-0.011575436219573,0
"Bradley","Thomas",1,0,13.2576637268066,13.2543611526489,1,1926,2002,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"East Midlands",0.0382507815957069,43107,0.774839341640472,2.64737296104431,0.0987695008516312,0
"Lawn","William",1,0,11.303370475769,11.303370475769,0,1907,1987,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"North West England",NA,55336,0.774793982505798,1.98573398590088,-0.084759995341301,NA
"Carter-Jones","Lewis",1,0,12.5811882019043,10.100076675415,1,1920,2004,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"North West England",0.0404102057218552,58138,0.777322947978973,1.95776128768921,0.14688441157341,0
"Larrow","Dennis",0,1,11.3442449569702,11.3442449569702,0,1920,1986,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"North East England",-0.113639354705811,64509,0.819870114326477,1.98212170600891,-0.0949724912643433,0
